City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,64.17,85,98,9.84,NZ,1675530608
1,torbay,47.6666,-52.7314,12.58,71,75,34.52,CA,1675530599
2,saint-philippe,-21.3585,55.7679,80.19,88,67,12.06,RE,1675530645
3,tasiilaq,65.6145,-37.6368,24.96,95,97,8.72,GL,1675530836
4,cape town,-33.9258,18.4232,77.88,68,4,5.99,ZA,1675530748
5,hermanus,-34.4187,19.2345,80.8,82,39,5.28,ZA,1675530957
6,barrow,71.2906,-156.7887,-21.98,76,40,9.22,US,1675530939
7,qasigiannguit,68.8193,-51.1922,-0.15,97,100,3.98,GL,1675530937
8,hirara,24.8,125.2833,68.68,71,89,15.57,JP,1675530762
9,bredasdorp,-34.5322,20.0403,75.42,71,1,7.83,ZA,1675530959
10,fortuna,40.5982,-124.1573,52.93,71,0,14.97,US,1675530776
11,hobart,-42.8794,147.3294,57.25,73,100,12.66,AU,1675530600
12,ushuaia,-54.8,-68.3,53.22,51,99,5.39,AR,1675530598
13,butaritari,3.0707,172.7902,81.39,81,75,19.98,KI,1675530641
14,castro,-24.7911,-50.0119,74.21,71,99,10.18,BR,1675530643
15,labuhan,-6.8844,112.2051,78.08,84,100,6.71,ID,1675530961
16,nanortalik,60.1432,-45.2371,32.07,70,100,36.84,GL,1675530300
17,mancio lima,-7.6142,-72.8958,86.07,79,75,0.0,BR,1675530964
18,savannah bight,16.45,-85.85,77.61,72,69,4.88,HN,1675530732
19,busselton,-33.65,115.3333,75.9,44,92,8.59,AU,1675530616
20,narsaq,60.9167,-46.05,28.62,60,100,13.22,GL,1675530765
21,bowen,-20.0167,148.2333,80.33,86,93,11.16,AU,1675530971
22,kurchum,48.5722,83.6542,22.35,97,100,2.3,KZ,1675530972
23,black forest,39.0131,-104.7008,49.14,21,0,9.22,US,1675530975
24,rikitea,-23.1203,-134.9692,78.04,78,4,18.48,PF,1675530593
25,nikolskoye,59.7035,30.7861,28.29,94,100,9.19,RU,1675530671
26,russell,32.3502,-85.1999,52.2,35,0,6.91,US,1675530872
27,changji,44.0167,87.3167,20.19,79,100,2.24,CN,1675530981
28,navrongo,10.8956,-1.0921,98.65,10,9,8.03,GH,1675530983
29,seguin,29.5688,-97.9647,56.8,82,0,5.75,US,1675530950
30,turukhansk,65.8167,87.9833,5.31,97,100,4.16,RU,1675530985
31,victoria,22.2855,114.1577,65.25,86,100,8.99,HK,1675530460
32,paredon,16.0333,-93.8667,80.11,52,9,24.7,MX,1675530989
33,ceres,37.5949,-120.9577,47.05,98,100,4.61,US,1675530704
34,lompoc,34.6391,-120.4579,57.58,80,0,6.91,US,1675530763
35,meulaboh,4.1363,96.1285,74.77,83,100,3.4,ID,1675530697
36,aljezur,37.3191,-8.8033,60.4,56,0,6.89,PT,1675530994
37,victoria point,-27.5833,153.3,73.94,90,92,8.57,AU,1675530994
38,rio grande,-32.035,-52.0986,86.11,54,14,18.3,BR,1675530690
39,rognan,67.0953,15.3878,34.05,75,100,8.05,NO,1675530995
40,mahebourg,-20.4081,57.7,80.26,78,76,11.7,MU,1675530705
41,saurimo,-9.6608,20.3916,63.72,99,100,5.5,AO,1675530996
42,new norfolk,-42.7826,147.0587,56.91,64,93,1.99,AU,1675530658
43,zlobin,45.2924,14.6541,39.79,40,0,27.63,HR,1675530997
44,longido,-2.7333,36.6833,77.45,27,75,16.89,TZ,1675530997
45,mattru,7.6244,-11.8332,95.18,34,11,6.85,SL,1675530998
46,east london,-33.0153,27.9116,77.14,79,40,19.93,ZA,1675530712
47,dikson,73.5069,80.5464,0.68,96,100,2.24,RU,1675530650
48,manono,-7.3,27.4167,70.03,95,92,6.76,CD,1675530999
49,komsomolskiy,40.4272,71.7189,41.72,81,87,4.61,UZ,1675530670
50,saldanha,-33.0117,17.9442,66.96,95,43,16.4,ZA,1675530758
51,borogontsy,62.6683,131.1683,-36.17,100,95,3.02,RU,1675531000
52,ahipara,-35.1667,173.1667,66.16,93,95,7.0,NZ,1675530847
53,launceston,-41.45,147.1667,53.24,75,48,4.61,AU,1675531001
54,griffith,41.5284,-87.4237,34.27,61,0,20.71,US,1675531001
55,khatanga,71.9667,102.5,-37.16,100,61,4.9,RU,1675530649
56,lebu,-37.6167,-73.65,67.3,75,31,13.53,CL,1675530666
57,ribeira grande,38.5167,-28.7,64.8,82,75,10.36,PT,1675530594
58,chuy,-33.6971,-53.4616,75.72,58,55,15.5,UY,1675530837
59,albany,42.6001,-73.9662,7.57,42,36,1.01,US,1675530609
60,gobabis,-22.45,18.9667,79.83,47,100,11.34,NA,1675531004
61,nara,34.6851,135.8049,39.49,47,26,1.7,JP,1675530775
62,kodiak,57.79,-152.4072,18.91,93,0,6.91,US,1675530648
63,necochea,-38.5473,-58.7368,74.1,43,0,10.22,AR,1675531005
64,yanam,16.7333,82.2167,69.91,80,0,3.31,IN,1675531005
65,airai,-8.9266,125.4092,60.51,93,100,1.77,TL,1675530594
66,vestmannaeyjar,63.4427,-20.2734,36.59,75,75,34.52,IS,1675530755
67,broken hill,-31.95,141.4333,63.77,49,0,11.03,AU,1675530827
68,saint george,37.1041,-113.5841,48.43,47,0,0.0,US,1675530796
69,chebsara,59.2002,38.8356,27.73,98,100,3.98,RU,1675531008
70,xam nua,20.4197,104.0439,60.1,99,77,2.24,LA,1675531009
71,kavieng,-2.5744,150.7967,80.76,78,97,7.45,PG,1675530851
72,doha,25.2867,51.5333,66.18,52,0,8.05,QA,1675530774
73,whitefish,48.4111,-114.3376,39.51,76,75,9.22,US,1675531011
74,tual,-5.6667,132.75,81.27,81,100,16.24,ID,1675531011
75,qandala,11.472,49.8728,73.76,71,7,6.22,SO,1675531012
76,punta arenas,-53.15,-70.9167,50.11,87,100,9.22,CL,1675530621
77,formosa,-26.1775,-58.1781,91.38,35,75,11.5,AR,1675530981
78,sinnamary,5.3833,-52.95,78.69,87,61,13.71,GF,1675530774
79,shingu,33.7333,135.9833,38.1,78,11,6.73,JP,1675531013
80,ejby,55.4858,12.0817,30.36,55,74,3.44,DK,1675531014
81,mar del plata,-38.0023,-57.5575,76.82,63,0,13.0,AR,1675530475
82,esperance,-33.8667,121.9,65.34,69,0,17.47,AU,1675530645
83,hithadhoo,-0.6,73.0833,81.84,73,65,16.84,MV,1675530596
84,jamestown,42.097,-79.2353,18.99,37,97,8.99,US,1675530384
85,nuuk,64.1835,-51.7216,11.01,72,20,23.02,GL,1675531016
86,vaini,-21.2,-175.2,80.15,77,36,9.33,TO,1675530638
87,rock sound,24.9,-76.2,74.91,75,7,14.52,BS,1675531017
88,kapaa,22.0752,-159.319,71.92,95,100,5.75,US,1675530549
